Property Address	Parcel Number	Inspection Date	Grade	License Status	Expiration Date	Mappable Address
1203 East Harding Drive	932121177005.00	7/3/2013	Class B	Issued	10/14/2021	"1203 East Harding Drive
Urbana, IL
(-88.1935, 40.0936)"
915 North Gregory Street	912107281011.00	12/14/2011	Class B	Expired	10/14/2022	"915 North Gregory Street
Urbana, IL
(-88.2214, 40.1212)"
607 West High Street	922117113003.00	6/20/2019	Class B	Issued	10/14/2022	"607 West High Street
Urbana, IL
(40.10959, -88.21537)"
1402 South Maple Street	932117480001.00	12/10/2009	Class B	Issued	10/14/2022	"1402 South Maple Street
Urbana, IL
(-88.2021, 40.1004)"
613 A East Colorado Avenue	932121151012.00	5/8/2017	Class A	Issued	10/14/2022	"613 A East Colorado Avenue
Urbana, IL
(40.09442, -88.19971)"
201 South Busey Avenue	922117102017.00	12/13/2012	Class B	Issued	10/14/2022	"201 South Busey Avenue
Urbana, IL
(-88.218, 40.1112)"
505 East Green Street	922117240010.00	9/14/2021	Class C	Issued	10/14/2022	"505 East Green Street
Urbana, IL
(40.110596, -88.20185)"
406 West Elm Street	922117131010.00	2/7/2019	Class B	Issued	10/14/2022	"406 West Elm Street
Urbana, IL
(40.1117630005, -88.212387085)"
1702 East Colorado Avenue	932121201015.00	11/9/2017	Class B	Issued	10/14/2022	"1702 East Colorado Avenue
Urbana, IL
(40.09594, -88.18691)"
605 West Ohio Street	932117307014.00	11/15/2019	Class B	Issued	10/14/2022	"605 West Ohio Street
Urbana, IL
(40.1034622192, -88.2150878906)"
1501 South Lincolnwood Drive	922116477014.00	7/26/2017	Class A	Issued	10/14/2022	"1501 South Lincolnwood Drive
Urbana, IL
(40.10062, -88.185875)"
1701 East Hunter Street	922116432001.00	5/9/2018	Class B	Issued	10/14/2022	"1701 East Hunter Street
Urbana, IL
(40.10364151, -88.1863021851)"
807 South Busey Avenue	922117154011.00	9/10/2018	Class B	Issued	10/14/2022	"807 South Busey Avenue
Urbana, IL
(40.105732, -88.21811)"
1005 Burkwood Drive	932121107008.00	8/17/2017	Class B	Issued	10/14/2022	"1005 Burkwood Drive
Urbana, IL
(40.0965690613, -88.1953430176)"
108 South Cottage Grove Avenue	922116126010.00	6/29/2012	Class B	Issued		"108 South Cottage Grove Avenue
Urbana, IL
(-88.1954, 40.1121)"
1909 East Washington Street	922116428018.00	4/5/2018	Class B	Issued	10/14/2022	"1909 East Washington Street
Urbana, IL
(40.105446, -88.18309)"
514 West High Street	922117128008.00	2/1/2019	Class B	Issued	10/14/2022	"514 West High Street
Urbana, IL
(40.109993, -88.21436)"
908 South Vine Street	932117426004.00	10/29/2019	Class B	Issued	10/14/2022	"908 South Vine Street
Urbana, IL
(40.1048202515, -88.2045822144)"
1208 Eureka Street	912107206023.00	8/30/2011	Class B	Expired	10/14/2020	"1208 Eureka Street
Urbana, IL
(-88.2252, 40.1258)"
705 West Nevada Street	922117158004.00	7/18/2018	Class B	Issued	10/14/2022	"705 West Nevada Street
Urbana, IL
(40.10619, -88.21661)"
507 West California Avenue	922117177003.00	5/6/2019	Class B	Issued	10/14/2022	"507 West California Avenue
Urbana, IL
(40.10807, -88.21392)"
306 East Thompson Street	912108227011.00	12/16/2021	Class B	Issued	10/14/2022	"306 East Thompson Street
Urbana, IL
(40.1261405945, -88.2047271729)"
214 West Vermont Avenue	932117381011.00	12/31/2019	Class B	Issued	10/14/2022	"214 West Vermont Avenue
Urbana, IL
(40.1001091003, -88.2111282349)"
904 North Broadway Avenue Unit 5	912108257018.00	2/8/2008	Class B	Issued		"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
605 Anderson Street	922117283009.00	12/13/2012	Class B	Issued	10/14/2022	"605 Anderson Street
Urbana, IL
(-88.2005, 40.108)"
601 Fairview Avenue	912108308011.00	4/16/2014	Class B	Issued		"601 Fairview Avenue
Urbana, IL
(-88.215, 40.1199)"
810 West Iowa Street	932117301004.00	12/10/2018	Class B	Issued	10/14/2022	"810 West Iowa Street
Urbana, IL
(40.10476, -88.21885)"
703 West California Avenue	922117156006.00	12/11/2007	Class B	Issued	10/14/2022	"703 West California Avenue
Urbana, IL
(-88.2164, 40.1081)"
1008 East Oregon Street	922116160010.00	12/19/2012	Class B	Issued	10/14/2022	"1008 East Oregon Street
Urbana, IL
(-88.196, 40.1079)"
1411 Beardsley Avenue	912107205001.00	8/1/2011	Class B	Issued	10/14/2022	"1411 Beardsley Avenue
Urbana, IL
(-88.2289, 40.126)"
1115 Austin Drive	922116403009.00	7/22/2014	Class B	Expired	10/14/2022	"1115 Austin Drive
Urbana, IL
(-88.1878, 40.1025)"
704 West Washington Street	922117158015.00	2/25/2008	Class B	Issued		"704 West Washington Street
Urbana, IL
(-88.2164, 40.1057)"
605 West High Street	922117113004.00	1/16/2009	Class B	Issued	10/14/2022	"605 West High Street
Urbana, IL
(-88.2152, 40.1096)"
706 West Illinois Street	922117108010.00	7/23/2018	Class B	Issued	10/14/2022	"706 West Illinois Street
Urbana, IL
(40.10931, -88.21678)"
906 Linview Avenue	912108152016.00	3/22/2013	Class B	Expired	10/14/2021	"906 Linview Avenue
Urbana, IL
(-88.2178, 40.1209)"
2319 East Main Street	912115126017.00	4/13/2015	Class B	Issued		"2319 East Main Street
Urbana, IL
(-88.1764, 40.1124)"
1309 East Harding Drive	932121177038.00	3/20/2017	Class B	Issued	10/14/2022	"1309 East Harding Drive
Urbana, IL
(40.0936, -88.19244)"
1007 Clark Street	912107481017.00	3/23/2009	Class B	Issued		"1007 Clark Street
Urbana, IL
(-88.2216, 40.1152)"
804 Church Street	912108302019.00	2/6/2014	Class B	Issued	10/14/2022	"804 Church Street
Urbana, IL
(-88.2176, 40.1185)"
301 West Illinois Street	922117182007.00	2/11/2020	Class B	Issued	10/14/2022	"301 West Illinois Street
Urbana, IL
(40.108932, -88.21048)"
1308 East Brighton Drive	932121177019.00	2/28/2017	Class B	Issued	10/14/2022	"1308 East Brighton Drive
Urbana, IL
(40.093285, -88.192535)"
805 South Lincoln Avenue	932118281007.00	12/7/2016	Class B	Issued		"805 South Lincoln Avenue
Urbana, IL
(-88.2195, 40.1057)"
2208 East Country Squire Drive	912115305030.00	3/2/2015	Class B	Issued	10/14/2022	"2208 East Country Squire Drive
Urbana, IL
(-88.179, 40.103)"
702 East Shurts Street	932121355003.00	5/10/2017	Class B	Issued	10/14/2022	"702 East Shurts Street
Urbana, IL
(40.08641, -88.199135)"
2204 East Easy Street	912115301005.00	4/5/2018	Class B	Issued	10/14/2022	"2204 East Easy Street
Urbana, IL
(40.1051521301, -88.17943573)"
704 Western Avenue	922117104009.00	7/26/2007	Class B	Issued	10/14/2022	"704 Western Avenue
Urbana, IL
(-88.2168, 40.1123)"
103 North Cottage Grove Avenue	912109355019.00	2/23/2012	Class B	Issued	10/14/2022	"103 North Cottage Grove Avenue
Urbana, IL
(-88.1959, 40.1132)"
1206 Brighton Drive	932121177014.00	6/17/2013	Class B	Issued	10/14/2022	"1206 Brighton Drive
Urbana, IL
(-88.1932, 40.0933)"
704 West California Avenue	922117155014.00	11/15/2012	Class B	Issued		"704 West California Avenue
Urbana, IL
(-88.2164, 40.1085)"
1403 East Michigan Avenue	922116377005.00	5/3/2016	Class B	Issued	10/14/2022	"1403 East Michigan Avenue
Urbana, IL
(-88.1916, 40.1014)"
1408 Briarcliff Drive	922116378041.00	4/6/2016	Class C	Expired	10/14/2022	"1408 Briarcliff Drive
Urbana, IL
(-88.1915, 40.1003)"
711 West Elm Street	922117106017.00	7/10/2012	Class B	Issued	10/14/2022	"711 West Elm Street
Urbana, IL
(-88.2173, 40.1112)"
1109 East Willard Street	932121380008.00	6/20/2018	Class B	Issued	10/14/2022	"1109 East Willard Street
Urbana, IL
(40.08407, -88.194374)"
1407 Abercorn Street	912115388042.00	3/4/2015	Class B	Issued	10/14/2022	"1407 Abercorn Street
Urbana, IL
(-88.1729, 40.1014)"
3017 Rutherford Drive	912110407047.00	3/12/2015	Class B	Issued		"3017 Rutherford Drive
Urbana, IL
(-88.1635, 40.1159)"
406 East Highlands Drive	912108276018.00	12/14/2021	Class B	Issued	10/14/2022	"406 East Highlands Drive
Urbana, IL
(40.1236495972, -88.2032623291)"
110 South Dodson Drive	912115128005.00	2/23/2018	Class B	Issued	10/14/2022	"110 South Dodson Drive
Urbana, IL
(40.1120529175, -88.1755218506)"
709 West High Street	922117108004.00	8/20/2007	Class B	Issued	10/14/2022	"709 West High Street
Urbana, IL
(-88.217, 40.1096)"
813 Clark Street	912108353005.00	5/17/2011	Class B	Issued	10/14/2022	"813 Clark Street
Urbana, IL
(-88.2189, 40.1152)"
3038 East Stillwater Landing Unit 101	932122406033.00	11/14/2017	Class A	Issued	10/14/2022	"3038 East Stillwater Landing
Urbana, IL
(40.0906410217, -88.165473938)"
1602 Hunter Street	922116402055.00	7/21/2014	Class B	Issued		"1602 Hunter Street
Urbana, IL
(-88.1885, 40.1038)"
1007 East Main Street	922116104009.00	2/13/2012	Class C	Issued		"1007 East Main Street
Urbana, IL
(-88.1962, 40.1127)"
1302 Brighton Drive	932121177015.00	1/28/2013	Class B	Expired		"1302 Brighton Drive
Urbana, IL
(-88.1929, 40.0933)"
1417 South Smith Road	912115385015.00	3/16/2018	Class B	Issued	10/14/2022	"1417 South Smith Road
Urbana, IL
(40.1007194519, -88.1763458252)"
1004 Garfield Avenue	932117330004.00	10/7/2009	Class B	Issued	10/14/2021	"1004 Garfield Avenue
Urbana, IL
(-88.2109, 40.1044)"
904 North Broadway Avenue Unit 216	912108257065.00	2/4/2008	Class B	Expired	10/14/2022	"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
3011 Rutherford Drive	912110407050.00	3/12/2015	Class B	Issued		"3011 Rutherford Drive
Urbana, IL
(-88.1635, 40.1156)"
706 South Walnut Street	922117264007.00	3/28/2007	Class B	Issued		"706 South Walnut Street
Urbana, IL
(-88.2059, 40.1071)"
2111 East Rainbow View	912115305006.00	4/16/2015	Class B	Expired	10/14/2022	"2111 East Rainbow View
Urbana, IL
(-88.1798, 40.103)"
905 East Harding Drive	932121153007.00	5/3/2017	Class B	Issued	10/14/2022	"905 East Harding Drive
Urbana, IL
(40.093582, -88.19647)"
1303 Beslin Street	912107406004.00	7/27/2011	Class B	Issued	10/14/2022	"1303 Beslin Street
Urbana, IL
(-88.2263, 40.1201)"
808 East Scovill Street	932121356019.00	2/21/2017	Class B	Issued	10/14/2022	"808 East Scovill Street
Urbana, IL
(40.08567, -88.19781)"
1009 North Busey Avenue	912108152031.00	2/20/2012	Class A	Expired		"1009 North Busey Avenue
Urbana, IL
(-88.2173, 40.1217)"
916 North Gregory Street	912107282008.00	12/19/2011	Class B	Expired		"916 North Gregory Street
Urbana, IL
(-88.2208, 40.1214)"
807 South Walnut Street	922117263026.00	11/6/2009	Class B	Issued		"807 South Walnut Street
Urbana, IL
(-88.2065, 40.1058)"
904 North Broadway Avenue Unit 18	912108257031.00	2/4/2008	Class B	Issued	10/14/2022	"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
709 South Cottage Grove Avenue	922116165024.00	12/7/2012	Class B	Issued	10/14/2022	"709 South Cottage Grove Avenue
Urbana, IL
(-88.196, 40.1069)"
1006 North Busey Avenue	912108153014.00	3/9/2012	Class B	Issued	10/14/2022	"1006 North Busey Avenue
Urbana, IL
(-88.2167, 40.1214)"
702 East Green Street	922116102010.00	6/26/2009	Class B	Issued	10/14/2022	"702 East Green Street
Urbana, IL
(-88.1998, 40.111)"
1608 Hunter Street	922116402058.00	7/21/2014	Class B	Issued	10/14/2022	"1608 Hunter Street
Urbana, IL
(-88.188, 40.1038)"
802 North Coler Avenue	912108308004.00	3/26/2014	Class C	Issued	10/14/2022	"802 North Coler Avenue
Urbana, IL
(-88.2154, 40.1194)"
1105 East Main Street	922116126005.00	7/17/2012	Class B	Issued	10/14/2022	"1105 East Main Street
Urbana, IL
(-88.1953, 40.1127)"
802 South Vine Street	922117284009.00	12/22/2009	Class B	Expired	10/14/2022	"802 South Vine Street
Urbana, IL
(-88.2047, 40.1063)"
601 South Busey Avenue	922117152012.00	1/17/2013	Class B	Issued		"601 South Busey Avenue
Urbana, IL
(-88.2181, 40.1081)"
1312 Greenridge Drive	912115307007.00	3/10/2015	Class A	Issued	10/14/2022	"1312 Greenridge Drive
Urbana, IL
(-88.177, 40.1021)"
803 1/2 East Oregon Street	922116162002.00	11/27/2012	Class B	Issued		"803 1 2 East Oregon Street
Urbana, IL
(-88.1986, 40.1075)"
714 West Nevada Street	922117157009.00	5/18/2018	Class B	Issued	10/14/2022	"714 West Nevada Street
Urbana, IL
(40.106785, -88.21725)"
705 West High Street	922117108006.00	10/16/2012	Class B	Issued		"705 West High Street
Urbana, IL
(-88.2166, 40.1096)"
603 West California Avenue	922117160008.00	7/22/2008	Class B	Issued	10/14/2022	"603 West California Avenue
Urbana, IL
(-88.2149, 40.108)"
1206 South Vine Street	932117430003.00	2/10/2010	Class B	Issued	10/14/2022	"1206 South Vine Street
Urbana, IL
(-88.2045, 40.1023)"
502 West Green Street Unit 313	922117127048.00	12/12/2008	Class B	Issued	10/14/2022	"502 West Green Street
Urbana, IL
(-88.2134, 40.1107)"
404 South Webber Street	922116108008.00	4/10/2012	Class B	Issued		"404 South Webber Street
Urbana, IL
(-88.1989, 40.1098)"
212 East Crystal Lake Drive	912108404021.00	10/7/2021	Class A	Issued	10/14/2022	"212 East Crystal Lake Drive
Urbana, IL
(40.1191329956, -88.2054595947)"
3007 Rutherford Drive	912110407052.00	3/12/2015	Class B	Issued		"3007 Rutherford Drive
Urbana, IL
(-88.1635, 40.1154)"
601 East Washington Street	932117427006.00	12/10/2009	Class B	Issued	10/14/2022	"601 East Washington Street
Urbana, IL
(-88.2012, 40.1054)"
1108 East Scovill Street	932121376024.00	2/21/2017	Class B	Issued	10/14/2022	"1108 East Scovill Street
Urbana, IL
(40.086094, -88.194756)"
2011 East Rainbow View	922116431013.00	1/7/2015	Class B	Issued		"2011 East Rainbow View
Urbana, IL
(-88.1824, 40.103)"
1401 Curtiss Drive	922116478003.00	1/29/2015	Class B	Issued	10/14/2022	"1401 Curtiss Drive
Urbana, IL
(-88.1849, 40.1015)"
1002 South Cottage Grove Avenue	922116326007.00	3/10/2016	Class B	Issued		"1002 South Cottage Grove Avenue
Urbana, IL
(-88.1954, 40.1046)"
502 West Green Street Unit 104	922117127018.00	12/18/2008	Class B	Issued		"502 West Green Street
Urbana, IL
(-88.2134, 40.1107)"
1726 East Florida Avenue	922116461015.00	5/2/2013	Class B	Issued		"1726 East Florida Avenue
Urbana, IL
(-88.1859, 40.0985)"
205 Grove Street	922117235010.00	7/6/2010	Class B	Issued		"205 Grove Street
Urbana, IL
(-88.2016, 40.1112)"
1406 East Michigan Avenue	922116376038.00	4/23/2013	Class B	Issued	10/14/2021	"1406 East Michigan Avenue
Urbana, IL
(-88.1914, 40.1019)"
1914 South Harding Drive	932120279002.00	9/14/2016	Class B	Issued	10/14/2022	"1914 South Harding Drive
Urbana, IL
(-88.2034, 40.0933)"
902 East California Avenue	922116153001.00	4/2/2012	Class B	Issued	10/14/2022	"902 East California Avenue
Urbana, IL
(-88.1978, 40.1088)"
1709 James Cherry Drive	922116461016.00	5/13/2013	Class B	Issued	10/14/2022	"1709 James Cherry Drive
Urbana, IL
(-88.1855, 40.0985)"
502 Griggs Street	912108377009.00	10/14/2021	Class C	Issued	10/14/2022	"502 Griggs Street
Urbana, IL
(40.1147460938, -88.213104248)"
812 Hill Street	912108301015.00	7/9/2010	Class B	Issued	10/14/2022	"812 Hill Street
Urbana, IL
(-88.2183, 40.1194)"
2004 East Michigan Avenue	922116432051.00	1/27/2015	Class B	Expired	10/14/2022	"2004 East Michigan Avenue
Urbana, IL
(-88.1835, 40.1019)"
805 West Stoughton Street	912108355004.00	12/9/2021	Class B	Issued	10/14/2022	"805 West Stoughton Street
Urbana, IL
(40.113255, -88.21842)"
501 East Elm Street	922117235001.00	8/18/2021	Class B	Issued	10/14/2022	"501 East Elm Street
Urbana, IL
(40.111515, -88.20237)"
1011 Austin Drive	922116402013.00	9/4/2014	Class C	Issued	10/14/2022	"1011 Austin Drive
Urbana, IL
(-88.1878, 40.1043)"
2305 South Myra Ridge Drive	932121452009.00	1/8/2018	Class B	Issued	10/14/2022	"2305 South Myra Ridge Drive
Urbana, IL
(40.087032, -88.18569)"
1107 1/2 East Washington Street	922116326002.00	4/26/2013	Class B	Issued	10/14/2022	"1107 1 2 East Washington Street
Urbana, IL
(-88.1949, 40.1055)"
604 West Nevada Street	922117161016.00	6/11/2013	Class C	Issued	10/14/2022	"604 West Nevada Street
Urbana, IL
(-88.2149, 40.1068)"
806 East Pennsylvania Avenue	922116351036.00	3/15/2016	Class B	Expired		"806 East Pennsylvania Avenue
Urbana, IL
(-88.1979, 40.101)"
1103 South Rainbow View	922116431002.00	1/27/2015	Class B	Expired	10/14/2022	"1103 South Rainbow View
Urbana, IL
(-88.1849, 40.1035)"
804 Hawthorne Drive	922116305019.00	3/17/2016	Class B	Issued	10/14/2022	"804 Hawthorne Drive
Urbana, IL
(-88.1988, 40.1026)"
817 Hill Street	912108302006.00	8/11/2010	Class B	Issued	10/14/2022	"817 Hill Street
Urbana, IL
(-88.2188, 40.1189)"
500 East Michigan Avenue	932117430006.00	5/1/2007	Class B	Expired	10/14/2022	"500 East Michigan Avenue
Urbana, IL
(-88.2017, 40.1019)"
703 Stoughton Street	912108360007.00	1/21/2011	Class B	Issued	10/14/2022	"703 Stoughton Street
Urbana, IL
(-88.2166, 40.113)"
702 Sunny Lane	912115181008.00	4/29/2015	Class B	Issued	10/14/2022	"702 Sunny Lane
Urbana, IL
(-88.1722, 40.1071)"
405 West Illinois Street	922117178004.00	5/23/2019	Class C	Issued	10/14/2022	"405 West Illinois Street
Urbana, IL
(40.1089172363, -88.2123413086)"
801 South Maple Street	922117285019.00	11/5/2009	Class B	Issued	10/14/2022	"801 South Maple Street
Urbana, IL
(-88.2027, 40.1065)"
908 Stoughton Street	912107486009.00	12/3/2008	Class B	Issued	10/14/2021	"908 Stoughton Street
Urbana, IL
(-88.2198, 40.1138)"
612 West California Avenue	922117159008.00	6/10/2019	Class B	Issued	10/14/2022	"612 West California Avenue
Urbana, IL
(40.108532, -88.21556)"
606 West Michigan Avenue	932117308028.00	7/17/2009	Class B	Issued	10/14/2020	"606 West Michigan Avenue
Urbana, IL
(-88.2151, 40.1022)"
1702 East Michigan Avenue	922116432011.00	1/6/2015	Class B	Issued		"1702 East Michigan Avenue
Urbana, IL
(-88.1862, 40.1019)"
705 East Burkwood Drive	932121106002.00	2/14/2018	Class B	Temporarily Not a Rental	10/14/2021	"705 East Burkwood Drive
Urbana, IL
(40.0963, -88.198555)"
111 West Park Street	912108403006.00	5/28/2008	Class B	Issued		"111 West Park Street
Urbana, IL
(-88.2083, 40.1173)"
1406 Briarcliff Drive	922116378040.00	5/5/2016	Class C	Expired	10/14/2022	"1406 Briarcliff Drive
Urbana, IL
(-88.1917, 40.1003)"
204 West High Street	922117211008.00	9/25/2019	Class B	Issued	10/14/2022	"204 West High Street
Urbana, IL
(40.110054, -88.20926)"
1302 East Mumford Drive	932121327001.00	6/6/2013	Class A	Issued	10/14/2022	"1302 East Mumford Drive
Urbana, IL
(-88.1928, 40.0909)"
1001 South Rainbow View	922116427012.00	1/8/2015	Class B	Issued	10/14/2022	"1001 South Rainbow View
Urbana, IL
(-88.185, 40.1047)"
1707 East Lydia Court	932121453007.00	1/8/2018	Class B	Issued	10/14/2022	"1707 East Lydia Court
Urbana, IL
(40.0861129761, -88.1862106323)"
410 West Springfield Avenue	922117130009.00	11/8/2021	Class C	Issued	10/14/2022	"410 West Springfield Avenue
Urbana, IL
(40.11256, -88.21256)"
1101 East Main Street	922116126001.00	4/10/2012	Class B	Issued	10/14/2022	"1101 East Main Street
Urbana, IL
(-88.1956, 40.1128)"
815 Hill Street	912108302007.00	1/24/2014	Class B	Issued	10/14/2022	"815 Hill Street
Urbana, IL
(-88.2186, 40.1189)"
1410 East Pennsylvania Avenue	922116379045.00	3/3/2016	Class B	Issued		"1410 East Pennsylvania Avenue
Urbana, IL
(-88.1913, 40.0992)"
708 North Lincoln Avenue	912108302002.00	1/23/2014	Class B	Issued		"708 North Lincoln Avenue
Urbana, IL
(-88.2191, 40.1188)"
302 West Locust Street	912108383009.00	8/27/2021	Class B	Issued	10/14/2022	"302 West Locust Street
Urbana, IL
(40.113777, -88.21049)"
2210 East Michigan Avenue	912115306032.00	3/4/2015	Class A	Issued	10/14/2022	"2210 East Michigan Avenue
Urbana, IL
(-88.1787, 40.102)"
3020 East Stillwater Landing Unit 204	932122406008.00	2/8/2018	Class B	Issued	10/14/2022	"3020 East Stillwater Landing
Urbana, IL
(40.090363, -88.16621)"
700 West Illinois Street	922117108015.00	7/23/2007	Class B	Issued	10/14/2020	"700 West Illinois Street
Urbana, IL
(-88.2162, 40.1093)"
1405 Bradley Avenue	912107201001.00	2/17/2012	Class B	Issued		"1405 Bradley Avenue
Urbana, IL
(-88.2289, 40.1271)"
212 West Illinois Street	922117143003.00	11/4/2019	Class B	Issued	10/14/2022	"212 West Illinois Street
Urbana, IL
(40.109356, -88.21012)"
1404 South Jackson Road	922116459008.00	8/17/2018	Class B	Issued	10/14/2022	"1404 South Jackson Road
Urbana, IL
(40.0999145508, -88.1894836426)"
105 North Busey Avenue	922117101005.00	7/24/2012	Class B	Expired	10/14/2022	"105 North Busey Avenue
Urbana, IL
(-88.2181, 40.1125)"
205 South Poplar Street	922116126027.00	8/17/2012	Class B	Issued		"205 South Poplar Street
Urbana, IL
(-88.1949, 40.1115)"
1203 East Willard Street	932121380014.00	3/28/2017	Class B	Issued	10/14/2022	"1203 East Willard Street
Urbana, IL
(40.084072, -88.193)"
906 East Harding Drive Unit 203	932121152034.00	3/28/2017	Class B	Issued	10/14/2022	"906 East Harding Drive
Urbana, IL
(40.094086, -88.19624)"
705 South Webber Street	922116161015.00	12/19/2012	Class B	Issued	10/14/2022	"705 South Webber Street
Urbana, IL
(-88.1994, 40.1072)"
