Property Address	Parcel Number	Inspection Date	Grade	License Status	Expiration Date	Mappable Address
1612 Fairlawn Drive	922116455089.00	3/22/2016	Class B	Issued	10/14/2022	"1612 Fairlawn Drive
Urbana, IL
(-88.1884, 40.1012)"
407 East California Avenue	922117281004.00	11/16/2009	Class B	Issued		"407 East California Avenue
Urbana, IL
(-88.2027, 40.1083)"
906 East Water Street	912109354003.00	2/29/2012	Class B	Issued	10/14/2022	"906 East Water Street
Urbana, IL
(-88.1972, 40.1142)"
405 East Villa Lane	932117428138.00	3/10/2020	Class A	Issued	10/14/2022	"405 East Villa Lane
Urbana, IL
(40.10434, -88.2034)"
904 North Broadway Avenue Unit 16	912108257029.00	2/4/2008	Class B	Issued	10/14/2022	"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
1002 East Harding Drive Unit 104	932121152019.00	5/4/2017	Class B	Temporarily Not a Rental	10/14/2019	"1002 East Harding Drive
Urbana, IL
(40.0940666199, -88.1957778931)"
210 Hartle Avenue	922116129025.00	3/16/2012	Class B	Expired	10/14/2022	"210 Hartle Avenue
Urbana, IL
(-88.1922, 40.1112)"
614 West California Avenue	922117159007.00	6/10/2019	Class B	Issued	10/14/2022	"614 West California Avenue
Urbana, IL
(40.10853, -88.21579)"
2201 West Fletcher Street	932121330008.00	4/12/2017	Class B	Issued	10/14/2022	"2201 West Fletcher Street
Urbana, IL
(40.0896606445, -88.1931228638)"
1903 East Florida Avenue Unit B	922116481054.00	1/16/2015	Class B	Issued	10/14/2022	"1903 East Florida Avenue
Unit B Urbana, IL
(-88.1856, 40.0983)"
1004 South Lanore Drive	922116426007.00	4/5/2018	Class B	Issued	10/14/2022	"1004 South Lanore Drive
Urbana, IL
(40.1044921875, -88.1863250732)"
